FirstName,LastName,GroupName,AlbumTitle,Genre,Format
Aretha,Franklin,null,The Very Best of Aretha Franklin,R&B/Soul,Cassette Tape
Jo Dee,Messina,null,I'm Alright,Country,Cassette Tape
null,null,Lace,Lace,Country,Cassette Tape
Faith,Hill,null,It Matters To Me,Country,Cassette Tape
Faith,Hill,null,Take Me As I Am,Country,Cassette Tape
Diana,Ross,Supremes,Diana Ross & The Supremes Every Great #1 Hit,R&B/Soul,Cassette Tape
null,null,Dixie Chicks,Fly,Country,Cassette Tape
Martina,McBride,null,Evolution,Country,Cassette Tape
Marina,McBride,null,Greatest Hits,Country,Cassette Tape
Jessica,Andrews,null,Heart Shaped World,Country,Cassette Tape
Jonny,Lang,null,Lie To Me,Blues,Cassette Tape
Keb',Mo',null,Keb' Mo',Blues,Cassette Tape
null,null,Fleetwood Mac,Behind The Mask,Rock,Cassette Tape
null,null,Fleetwood Mac,Greatest Hits,Rock,Cassette Tape
Kenny,Rogers,null,Kenny Rogers Christmas,Christmas,Cassette Tape
null,null,null,Disney's Christmas Collection II,Christmas,Cassette Tape
null,null,null,A Very Special Christmas,Christmas,Cassette Tape
null,null,Boyz II Men,Boyz II Men Christmas Interpretations,Christmas,Cassette Tape
Jose,Feliciano,null,Jose Feliciano Feliz Navidad,Christmas,Cassette Tape
null,null,null,Citgo Country Christmas 1995,Christmas,Cassette Tape
null,null,null,Country Christmas,Christmas,Cassette Tape
null,null,null,A Very Special Christmas 2,Christmas,Cassette Tape
null,null,null,Dollywood Smoky Mountain Memories Christmas Favorites,Christmas,Cassette Tape
Kenny,Rogers,null,Christmas With Kenny Rogers,Christmas,Cassette Tape
null,null,Alabama,Christmas Memories From Elvis & Alabama,Christmas,Cassette Tape
Elvis,Presley,null,Christmas Memories From Elvis & Alabama,Christmas,Cassette Tape
Alan,Jackson,null,High Mileage,Country,Cassette Tape
Bryan,White,null,Bryan White,Country,Cassette Tape
Madonna,null,null,True Blue,Pop,Cassette Tape
Madonna,null,null,The Immaculate Collection,Pop,Cassette Tape
Barry,Manilow,null,Greatest Hits Volume I,Pop,Cassette Tape
