artist_id,first_name,last_name,group_name
1,Aretha,Franklin,null
2,Jo Dee,Messina,null
3,null,null,Lace
4,Faith,Hill,null
5,Diana,Ross,The Supremes
6,null,null,Dixie Chicks
7,Martina,McBride,null
8,Jessica,Andrews,null
9,Jonny,Lang,null
10,Keb' Mo',null,null
11,null,null,Fleetwood Mac
12,Kenny,Rogers,null
13,null,null,Boyz II Men
14,Jose,Feliciano,null
15,Alan,Jackson,null
16,Bryan,White,null
17,Madonna,null,null
18,Barry,Manilow,null
19,null,null,The Kids From Fame
20,null,null,Everly Brothers
21,Tim,McGraw,null
22,Reba,McEntire,null
23,Mindy,McCready,null
24,null,null,NSYNC
25,Dolly,Parton,null
26,Meatloaf,null,null
27,Mozart,null,null
28,null,null,The Monkees
29,Elvis,Presley,null
30,null,null,Na Leo Pilimehana
31,David Lee,Murphy,null
32,Patsy ,Cline,null
33,null,null,Little Texas
34,Lee Ann,Womack,null
35,Tammy,Wynette,null
36,Lila,McCann,null
37,Charlie,Daniels,null
38,null,null,The Judds
39,Betty,Everett,null
40,Jimmy ,Buffet,null
41,Bryan,Adams,null
42,Garth,Brooks,null
43,Paul,Brandt,null
44,null,null,The Byrds'
45,Jerry Lee,Lewis,null
46,Pat,Benatar,null
47,Crystal,Gayle,null
48,null,null,Herman's Hermits
49,null,null,Alabama
50,Loretta,Lynn,null
51,Irene,Cara,null
52,Mariah,Carey,null
53,null,null,Eagles
54,Leann,Rimes,null
55,Rhett,Akins,null
56,null,null,The Chiffons
57,null,null,The Wilkinsons
58,Clay,Walker,null
59,Shania,Twain,null
60,null,null,USA for AFRICA 
61,Whitney,Houston,null
62,Cece ,Winans,null
63,null,null,Natural Selections featuring Niki Haris
64,Sonya,Isaacs,null
65,Howlin',Wolf,null
66,Belinda,Carlisle,null
67,Mary Chapin,Carpenter,null
68,Shaun,Cassidy,null
69,null,null,The Angels
70,null,null,Bangles
71,Lynard,Skynard,null
72,Charlie,Pride,null
73,null,null,Lonestar
74,"Nat ""King""",Cole,null
75,Ella,Fitzgerald,null
76,null,null,Mr. Big
77,Mandy,Moore,null
78,Otis ,Redding,null
79,Tiffany,null,null
80,Paula,Abdul,null
81,null,null,New Edition
82,Dino,null,null
83,Rufus,Thomas,null
84,James,Taylor,null
85,null,null,Salt-N-Pepa
86,Kippi,Brannon,null
87,Lari,White,null
88,null,null,Trick Pony
89,Bruce,Springsteen,null
90,null,null,Survivor
91,Ruth,Brown,null
92,Joshua,Kadison,null
93,Frederic,Chopin,null
94,null,null,Bruce & Jerry
95,Natalie,Merchant,null
96,null,null,Red Hot Chili Peppers
97,Terri,Clark,null
98,Billie,Holiday,null
99,Anita,Cochran,null
100,Nicki,French,null
101,null,null,The B52's
102,null,null,Tony Toni Tone
103,null,null,The Shirelles
104,null,null,Wilson Phillips
105,null,null,Jacksons
106,Kylie,Minogue,null
107,null,null,Bon Jovi
108,null,null,Genesis
109,Pasty,Montana,null
110,Christopher ,Cross,null
111,Eddie,Rabbitt,null
112,Lee,Greenwood,null
113,null,null,NuFlavor
114,Merril,Bainbridge,null
115,Gary,Richard,null
116,Tracy ,Chapman,null
117,null,null,Inner Circle
118,Jon,Secada,null
119,M.C. Hammer,null,null
120,null,null,America
121,null,null,Queen
122,Gloria,Estefan,null
123,Phil,Collins,null
124,null,null,Indigo Girls
125,Kenny Wayne,Shepherd,null
126,Marc,Anthony,null
127,Shawn,Colvin,null
128,Patty,Smith,null
129,Rod,Stewart,null
130,Lisa ,Loeb,& Nine Stories
131,Lionel,Ritchie,null
132,null,null,All-4-One
133,Darryl,Worley,null
134,Sheryl,Crow,null
135,null,null,Tony Rich Project
136,null,null,Kyper
137,Rick,Trevino,null
138,null,null,Firehouse
139,Sammy,Kershaw,null
140,Travis,Tritt,null
141,Skip,Ewing,null
142,null,null,Diamond Rio
143,null,null,"10,000 Maniacs"
144,Don,McLean,null
145,null,null,The Crystals
146,null,null,Whitesnake
147,Roger,Miller,null
148,Ricky ,Nelson,null
149,Doug,Stone,null
150,null,null,Ricochet
151,Conway,Twitty,null
152,null,null,Hootie & The Blowfish
153,Vince,Gill,null
154,null,null,Montgomery Gentry
155,Brad,Paisley,null
156,Stevie Ray,Vaughn,and Double Trouble
157,Carl,Perkins,null
158,Roy,Orbison,null
159,Mary,Wells,null
160,Stevie,Wonder,null
161,null,null,The Doobie Brothers
162,null,null,Nitty Gritty Dirt Band
163,John Michael,Montgomery,null
164,Merle,Haggard,null
165,George,Jones,null
166,David,Kersh,null
167,Steve,Wariner,null
168,null,null,Restless Heart
169,George,Strait,null
170,Willie,Nelson,null
171,John Cougar ,Mellencamp,null
172,Me'Shell,Ndegeocello,null
173,null,null,The Supremes
174,Jim,Brickman,null
175,null,null,Jackson 5
176,Etta,James,null
177,Buddy,Jewel,null
178,Elton,John,null
179,Sarah,Johns,null
180,Carolyn Dawn,Johnson,null
181,Norah,Jones,null
182,Janis,Joplin,null
183,null,null,Journey
184,Wynonna,Judd,null
185,Michael,Bublé,null
186,Sarah,Buxton,null
187,Colbie ,Caillat,null
188,Deana,Carter,null
189,null,null,Carter's Chord
190,Cher,null,null
191,Toby,Keith,null
192,Kenny,G,null
193,Alicia,Keys,null
194,null,null,The Kinleys
195,Marit,Larsen,
196,Kenny,Chesney,null
197,null,null,Chicago
198,null,null,The Chordettes
199,Claudia,Church,null
200,Eric,Clapton,null
201,Kelly,Clarkson,null
202,Cyndi,Lauper,null
203,Avril,Lavigne,null
204,Joey,Lawrence,null
205,Jennifer,Lopez,null
206,null,null,The Lynns
207,Tammy,Cochran,null
208,Marc,Cohn,null
209,null,null,Colón
210,null,null,Color Me Badd
211,David,Cook,null
212,Sam,Cooke,null
213,Jim,Croce,null
214,Victor,Manuelle,null
215,null,null,Maroon 5
216,Ricky,Martin,null
217,Bob,Marley ,& The Wailers
218,Amanda ,Marshall,null
219,null,null,Marshall Dillon
220,null,null,The Marvelettes
221,Richard,Marx,null
222,Mila,Mason,null
223,Billy Ray,Cyrus,null
224,null,null,Dan + Shay
225,Linda,Davis,null
226,Jennifer,Day,null
227,Taylor,Dayne,null
228,null,null,Destiny's Child
229,Neil,Diamond,null
230,Celine,Dion,null
231,null,null,Matchbox 20
232,John,Mayer,null
