genre_id,genres
1,A Capella
2,Adult Contemporary
3,Alternative Rock
4,Blues
5,Blues Rock
6,Broadway
7,Children's
8,Classical
9,Christian
10,Christmas
11,Combination
12,Country
13,Dance
14,Disco
15,Doo-Wop
16,Electronic
17,Electronic Dance
18,Eurobeat
19,Euro Disco
20,Folk
21,Folk Pop
22,Funk
23,Gospel
24,Grunge
25,Hard Rock
26,Hawaiian
27,Heartland Rock
28,Heavy Metal
29,Hip Hop
30,Instrumental
31,International
32,Island
33,Jazz
34,Latin
35,Latin Pop
36,Musical
37,Neo Soul
38,New Age
39,New Wave
40,Opera
41,Pop
42,Pop Rock
43,Psychedelic
44,Punk Rock
45,R&B/Soul
46,Reggae
47,Rockabilly
48,Rock
49,Salsa
50,Soft Rock
51,Standards
52,Surf
53,Synth Pop
54,Techno
